# Params: min_volt -0.6 max_volt 0.8 start_volt 0.0 scan_rate 0.05 direction up num_cycles 5
Stimulation voltage (V),Measured current(A)
0.00040293040293026827,0.0024394994636230466
0.0012087912087910269,-9.766115234374979e-07
0.0020146520146520075,-2.3926257324218765e-06
0.002820512820512766,-1.4160642089843733e-06
0.0036263736263735247,-1.9043449707031214e-06
0.004432234432234283,-4.887807617187434e-08
0.005238095238095042,-6.348149902343678e-07
0.0060439560439560225,-2.3926257324218765e-06
0.006849816849816781,-1.6113765136718712e-06
0.00765567765567754,1.3183080566406317e-06
0.008461538461538298,-5.859869140625022e-07
0.009267399267399279,-2.4419038085937927e-07
0.010073260073260037,-2.8320784179687447e-06
0.010879120879120796,-1.4160642089843733e-06
0.011684981684981555,1.611276513671875e-06
0.012490842490842313,-2.4419038085937927e-07
0.013296703296703294,1.9526230468750327e-07
0.014102564102564052,-2.5391099609375017e-06
0.014908424908424811,-1.9043449707031214e-06
0.01571428571428557,1.9042449707031252e-06
0.016520146520146328,-4.883307617187497e-07
0.01732600732600731,5.85886914062506e-07
0.018131868131868067,-2.5391099609375017e-06
0.018937728937728826,-1.123095751953123e-06
0.019743589743589585,2.099557275390623e-06
0.020549450549450565,-1.9536230468749947e-07
0.021355311355311324,9.765115234375017e-07
0.022161172161172082,-2.685594189453127e-06
0.02296703296703284,-1.464892285156253e-06
0.0237728937728936,2.1972134277343755e-06
0.02457875457875458,-1.9536230468749947e-07
0.02538461538461534,1.0253395996093743e-06
0.026190476190476097,-2.1973134277343786e-06
0.026996336996336856,-3.418465332031246e-07
0.027802197802197615,2.3436976562500006e-06
0.028608058608058595,1.4643422851562348e-07
0.029413919413919354,1.074167675781254e-06
0.030219780219780112,-2.4414538085937493e-06
0.03102564102564087,-1.4160642089843733e-06
0.03183150183150185,2.441353808593746e-06
0.03263736263736261,1.4643422851562348e-07
0.03344322344322337,1.2206519042968722e-06
0.03424908424908413,-2.0508291992187463e-06
0.035054945054944886,-1.2207519042968756e-06
0.03586080586080587,1.8554168945312524e-06
0.036666666666666625,2.440903808593759e-07
0.037472527472527384,9.27683447265629e-07
0.03827838827838814,-1.660204589843751e-06
0.0390842490842489,-1.2695799804687481e-06
0.03989010989010988,1.3671361328124973e-06
0.04069597069597064,3.905746093750011e-07
0.0415018315018314,-1.0254395996093705e-06
0.04230769230769216,-1.2695799804687481e-06
0.043113553113552916,-1.318408056640628e-06
0.0439194139194139,8.300272949218765e-07
0.044725274725274655,1.074167675781254e-06
0.045531135531135414,-1.7090326660156235e-06
0.04633699633699617,-7.812992187500001e-07
0.04714285714285715,-1.0254395996093705e-06
0.04794871794871791,1.4643422851562348e-07
0.04875457875457867,1.4647922851562498e-06
0.04956043956043943,-2.0508291992187463e-06
0.05036630036630019,-6.348149902343678e-07
0.05117216117216117,-9.766115234374979e-07
0.05197802197802193,-9.770615234374701e-08
0.052783882783882685,2.1483853515625027e-06
0.053589743589743444,-2.343797656249997e-06
0.0543956043956042,-3.418465332031246e-07
0.05520146520146518,-8.301272949218728e-07
0.05600732600732594,-5.0000000001659824e-11
0.0568131868131867,2.783150341796876e-06
0.05761904761904746,-1.9043449707031214e-06
0.05842490842490844,6.347149902343716e-07
0.0592307692307692,-7.812992187500001e-07
0.06003663003662996,4.3940268554688087e-07
0.060842490842490715,3.1737749511718718e-06
0.061648351648351474,-9.766115234374979e-07
0.062454212454212454,1.5136203613281296e-06
0.06326007326007321,-4.3950268554687707e-07
0.06406593406593397,1.0253395996093743e-06
0.06487179487179473,3.124946875000006e-06
0.06567765567765549,-9.770615234374701e-08
0.06648351648351647,1.8554168945312524e-06
0.06728937728937723,-2.9301845703124485e-07
0.06809523809523799,1.269479980468752e-06
0.06890109890109875,3.320259179687497e-06
0.06970695970695973,5.370588378906262e-07
0.07051282051282048,1.8065888183593799e-06
0.07131868131868124,-3.906746093749973e-07
0.072124542124542,1.4647922851562498e-06
0.07293040293040276,2.8808064941406283e-06
0.07373626373626374,1.415964208984377e-06
0.0745421245421245,8.788553710937491e-07
0.07534798534798526,-1.465342285156197e-07
0.07615384615384602,1.8554168945312524e-06
0.07695970695970678,2.734322265625003e-06
0.07776556776556776,1.6601045898437547e-06
0.07857142857142851,-6.836430664062475e-07
0.07937728937728927,-2.9301845703124485e-07
0.08018315018315003,2.1972134277343755e-06
0.08098901098901101,2.3925257324218806e-06
0.08179487179487177,1.953073046874998e-06
0.08260073260073253,-1.1719238281249956e-06
0.08340659340659329,6.835430664062513e-07
0.08421245421245405,2.3925257324218806e-06
0.08501831501831503,2.294869580078128e-06
0.08582417582417579,2.3925257324218806e-06
0.08663003663003654,-1.660204589843751e-06
0.0874358974358973,2.440903808593759e-07
0.08824175824175806,2.441353808593746e-06
0.08904761904761904,2.1483853515625027e-06
0.0898534798534798,2.1972134277343755e-06
0.09065934065934056,-2.1973134277343786e-06
0.09146520146520132,2.929184570312486e-07
0.09227106227106208,2.441353808593746e-06
0.09307692307692306,2.1972134277343755e-06
0.09388278388278382,2.6854941894531236e-06
0.09468864468864457,-2.7344222656249996e-06
0.09549450549450533,1.4643422851562348e-07
0.09630036630036631,2.3925257324218806e-06
0.09710622710622707,2.099557275390623e-06
0.09791208791208783,2.929634570312501e-06
0.09871794871794859,-2.5879380371093745e-06
0.09952380952380935,9.76061523437508e-08
0.10032967032967033,2.099557275390623e-06
0.10113553113553109,2.1972134277343755e-06
0.10194139194139185,2.929634570312501e-06
0.1027472527472526,-2.294969580078124e-06
0.10355311355311336,4.882307617187465e-07
