# Params: min_volt -0.6 max_volt 0.8 start_volt 0.0 scan_rate 0.1 direction down num_cycles 5
Stimulation voltage (V),Measured current(A)
-0.0020146520146520075,2.3926257324218765e-06
-0.0012087912087910269,2.685594189453127e-06
-0.00040293040293026827,2.685594189453127e-06
0.0004029304029304903,9.770615234374701e-08
0.001208791208791249,4.887807617187434e-08
0.0020146520146520075,2.4419038085937927e-07
0.002820512820512988,-9.76061523437508e-08
0.0036263736263737467,2.9301845703124485e-07
0.004432234432234505,2.4419038085937927e-07
0.005238095238095264,9.770615234374701e-08
0.0060439560439560225,3.906746093749973e-07
0.006849816849817003,1.465342285156197e-07
0.007655677655677762,4.883307617187497e-07
0.00846153846153852,2.4419038085937927e-07
0.009267399267399279,3.418465332031246e-07
0.01007326007326026,4.3950268554687707e-07
0.010879120879121018,3.418465332031246e-07
0.011684981684981777,4.3950268554687707e-07
0.012490842490842535,3.906746093749973e-07
0.013296703296703294,2.9301845703124485e-07
0.014102564102564275,5.371588378906224e-07
0.014908424908425033,4.3950268554687707e-07
0.01571428571428579,7.812992187500001e-07
0.01652014652014655,5.859869140625022e-07
0.01732600732600731,4.3950268554687707e-07
0.01813186813186829,7.324711425781274e-07
0.018937728937729048,5.859869140625022e-07
0.019743589743589807,5.859869140625022e-07
0.020549450549450565,4.883307617187497e-07
0.021355311355311546,3.906746093749973e-07
0.022161172161172304,6.348149902343678e-07
0.022967032967033063,7.324711425781274e-07
0.02377289377289382,7.812992187500001e-07
0.02457875457875458,8.301272949218728e-07
0.02538461538461556,6.348149902343678e-07
0.02619047619047632,8.301272949218728e-07
0.026996336996337078,6.348149902343678e-07
0.027802197802197837,8.789553710937454e-07
0.028608058608058595,9.766115234374979e-07
0.029413919413919576,8.301272949218728e-07
0.030219780219780334,9.277834472656252e-07
0.031025641025641093,9.277834472656252e-07
0.03183150183150185,9.766115234374979e-07
0.03263736263736283,9.277834472656252e-07
0.03344322344322359,9.766115234374979e-07
0.03424908424908435,1.2695799804687481e-06
0.03505494505494511,9.766115234374979e-07
0.03586080586080587,1.123095751953123e-06
0.03666666666666685,1.123095751953123e-06
0.037472527472527606,1.0742676757812502e-06
0.038278388278388364,4.3950268554687707e-07
0.03908424908424912,1.123095751953123e-06
0.03989010989010988,1.1719238281249956e-06
0.04069597069597086,1.318408056640628e-06
0.04150183150183162,1.1719238281249956e-06
0.04230769230769238,1.318408056640628e-06
0.04311355311355314,1.1719238281249956e-06
0.0439194139194139,1.4160642089843733e-06
0.04472527472527488,1.464892285156253e-06
0.045531135531135636,1.2695799804687481e-06
0.046336996336996394,1.318408056640628e-06
0.04714285714285715,1.2207519042968756e-06
0.047948717948718134,1.3672361328124935e-06
0.04875457875457889,1.464892285156253e-06
0.04956043956043965,1.318408056640628e-06
0.05036630036630041,1.6113765136718712e-06
0.05117216117216117,1.464892285156253e-06
0.05197802197802215,1.6113765136718712e-06
0.05278388278388291,1.5625484374999984e-06
0.053589743589743666,1.464892285156253e-06
0.054395604395604424,1.5137203613281258e-06
0.05520146520146518,1.464892285156253e-06
0.056007326007326164,1.464892285156253e-06
